Id,OpportunityId,CreatedById,CreatedDate,Field,OldValue,NewValue
0172e00000qzCqYAAU,0062e000002OqvqAAC,0052e000000VJEFAA4,30/04/2020 12:46,StageName,Closing,Closed Won
0172e00000qZL6YAAW,0062e000002RFCMAA4,0052e000000VJIEAA4,27/04/2020 6:32,StageName,Identifying,Execute Contract
0172e00000qZMJ5AAO,0062e000002RFCRAA4,0052e000000VJIEAA4,27/04/2020 6:34,StageName,Identifying,Execute Contract
0172e00000qZMKGAA4,0062e000002RFCqAAO,0052e000000VJIEAA4,27/04/2020 6:35,StageName,Identifying,Execute Contract
0172e00000qZNR0AAO,0062e000002RFCSAA4,0052e000000VJIEAA4,27/04/2020 6:37,StageName,Identifying,Execute Contract
0172e00000qZOIkAAO,0062e000002RFDtAAO,0052e000000VJIEAA4,27/04/2020 6:39,StageName,Identifying,Execute Contract
0172e00000qZR0lAAG,0062e000002RFFVAA4,0052e000000VJIEAA4,27/04/2020 6:47,StageName,Identifying,Execute Contract
0172e00000r2aIjAAI,0062e000002HGjNAAW,0052e000000V0ltAAC,30/04/2020 23:49,StageName,Closed Lost,Execute Contract
0172e00000r2CgfAAE,0062e000002KozXAAS,0052e000000VJBUAA4,30/04/2020 23:02,StageName,Proposing,Identifying
0172e00000r2ciPAAQ,0062e000002RVCwAAO,0052e000000VJEFAA4,30/04/2020 23:54,StageName,Proposing,Closed Won
0172e00000r2d5rAAA,0062e000002MCiaAAG,0052e000000V0ltAAC,30/04/2020 23:55,StageName,Closed,Post Award
0172e00000r2emWAAQ,0062e000002PqPxAAK,0052e000000VJDAAA4,30/04/2020 23:59,StageName,Closing,Closed Won
0172e00000r2G36AAE,0062e000002HHPCAA4,0052e000000V0ltAAC,30/04/2020 23:12,StageName,Closed Won,Closed Lost
0172e00000r2JMgAAM,0062e000002HHOVAA4,0052e000000V0ltAAC,30/04/2020 23:17,StageName,Closed Won,Execute Contract
0172e00000r2kncAAA,0062e000002RU2rAAG,0052e000000VJDAAA4,1/05/2020 0:15,StageName,Identifying,Developing
0172e00000r2L27AAE,0062e000002HHOVAA4,0052e000000V0ltAAC,30/04/2020 23:19,StageName,Execute Contract,Closed Won
0172e00000r2lT0AAI,0062e000002QzV0AAK,0052e000000VJDAAA4,1/05/2020 0:13,StageName,Identifying,Developing
