Id,RecordType.Name,Industry,Industry_Sub_Type__c,Business_Type__c,Country__c,Is_External__c,ParentId
0012e000003A6qJAAS,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6qQAAS,Business Organization,Services,Education,University,Australia,External,
0012e000003A6qSAAS,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6qlAAC,Business Organization,Technology: IT & Telephone Services,,Large Australian Corporate,Australia,External,0012e000003A6qcAAC
0012e000003A6qrAAC,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6qwAAC,Business Organization,Services,Community,Not for profit,United Kingdom,External,
0012e000003A6rAAAS,Business Organization,Public Administration,,Government: International,Indonesia,External,0012e000003A6qhAAC
0012e000003A6raAAC,Business Organization,Health,Health Care & Healthy Aging,Government: International,China,External,
0012e000003A6rkAAC,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,Switzerland,External,0012e000003A6d2AAC
0012e000003A6rpAAC,Business Organization,Health,Diagnostics,SME (small to medium enterprise),Australia,External,
0012e000003A6s9AAC,Business Organization,Technology: IT & Telephone Services,,Not for profit,Australia,External,
0012e000003A6sMAAS,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6sPAAS,Business Organization,Agriculture & Horticulture,,SME (small to medium enterprise),Australia,External,
0012e000003A6sQAAS,Business Organization,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,India,External,
0012e000003A6sTAAS,Business Organization,Public Administration,,Government: International,Bangladesh,External,
0012e000003A6tKAAS,Business Organization,Technology: IT & Telephone Services,,Large Australian Corporate,Australia,External,
0012e000003A6u3AAC,Business Organization,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),Australia,External,
0012e000003A6u4AAC,Business Organization,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),Australia,External,
0012e000003A6uAAAS,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6uLAAS,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6uMAAS,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6uNAAS,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6ujAAC,Business Organization,Services,Education,Government: International,New Zealand,External,
0012e000003A6unAAC,Business Organization,Services,Business & Professional,Government: Australia: Local & State,Australia,External,
0012e000003A6vAAAS,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6vDAAS,Business Organization,Services,Community,University,United States of America,External,
0012e000003A6vOAAS,Business Organization,Health,Pharmaceuticals,University,Australia,External,
0012e000003A6vWAAS,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,Iran,External,
0012e000003A6vYAAS,Business Organization,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),Australia,External,
0012e000003A6vlAAC,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,Japan,External,
0012e000003A6w8AAC,Business Organization,Health,Diagnostics,SME (small to medium enterprise),Australia,External,
0012e000003A6w9AAC,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),New Zealand,External,
0012e000003A6wHAAS,Business Organization,Veterinary,,SME (small to medium enterprise),Australia,External,
0012e000003A6wbAAC,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6wgAAC,Business Organization,Services,Education,University,Denmark,External,
0012e000003A6wjAAC,Business Organization,Health,Pharmaceuticals,Large Australian Corporate,Australia,External,
0012e000003A6wmAAC,Business Organization,Health,Pharmaceuticals,Multinational / Other Large Corporate,Germany,External,
0012e000003A6wxAAC,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6xcAAC,Business Organization,Public Administration,,Government: International,New Zealand,External,
0012e000003A6xsAAC,Business Organization,Services,Financial & Insurance,Multinational / Other Large Corporate,Australia,External,0012e000003A6y8AAC
0012e000003A6y1AAC,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6y5AAC,Business Organization,Services,Education,Not for profit,Australia,External,0012e000003A6FfAAK
0012e000003A6yBAAS,Business Organization,Construction & Construction Materials,,Large Australian Corporate,Australia,External,
0012e000003A6yCAAS,Business Organization,Services,Financial & Insurance,Large Australian Corporate,Australia,External,
0012e000003A6yPAAS,Business Organization,Services,"Retail, Travel, Hospitality & Leisure",SME (small to medium enterprise),Australia,External,0012e000003A6yaAAC
0012e000003A6ytAAC,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6z2AAC,Business Organization,Construction & Construction Materials,,Multinational / Other Large Corporate,Australia,External,
0012e000003A6zHAAS,Business Organization,Services,Entertainment & Creative Industries,Multinational / Other Large Corporate,United States of America,External,
0012e000003A6zPAAS,Business Organization,Manufacturing & R&D,"Hardware, Electronics and Electrical Equipment",SME (small to medium enterprise),Australia,External,
0012e000003A6zaAAC,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A70DAAS,Business Organization,Health,Medical Devices,SME (small to medium enterprise),Australia,External,
0012e000003A70rAAC,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Hong Kong,External,
0012e000003A71BAAS,Business Organization,Defence,,Government: International,Switzerland,External,
