Id,WhatId,ActivityDate,Status,OwnerId,Type,TaskSubtype
00T2e000005x8nIEAQ,0062e000002HGD6AAO,4/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005x8OTEAY,0062e000002HGD6AAO,4/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005x3TCEAY,0062e000002HGD6AAO,4/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000003u37aEAA,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u1HSEAY,0062e000002HGD8AAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u19OEAQ,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tzCoEAI,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003twmtEAA,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003twU4EAI,0062e000002HGD8AAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tvhDEAQ,0062e000002HGD8AAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tuS2EAI,0062e000002HGD8AAO,21/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tkt6EAA,0062e000002HGD8AAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tidPEAQ,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tiYgEAI,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tfUYEAY,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tfMjEAI,0062e000002HGD8AAO,20/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tf5AEAQ,0062e000002HGD8AAO,21/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e0000066NNAEA2,0062e000002HGDfAAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NN5EAM,0062e000002HGDfAAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
